step,value,metric,seed
29000,-0.0039682539682539,largest_component_size_rel_change,seed000
30000,0.0,largest_component_size_rel_change,seed000
1000,255.0,max_degree,seed000
2000,255.0,max_degree,seed000
3000,253.0,max_degree,seed000
4000,254.0,max_degree,seed000
5000,250.0,max_degree,seed000
6000,244.0,max_degree,seed000
7000,249.0,max_degree,seed000
8000,250.0,max_degree,seed000
9000,242.0,max_degree,seed000
10000,244.0,max_degree,seed000
11000,243.0,max_degree,seed000
12000,249.0,max_degree,seed000
13000,252.0,max_degree,seed000
14000,253.0,max_degree,seed000
15000,254.0,max_degree,seed000
16000,255.0,max_degree,seed000
17000,255.0,max_degree,seed000
18000,254.0,max_degree,seed000
19000,253.0,max_degree,seed000
20000,250.0,max_degree,seed000
21000,251.0,max_degree,seed000
22000,253.0,max_degree,seed000
23000,253.0,max_degree,seed000
24000,253.0,max_degree,seed000
25000,253.0,max_degree,seed000
26000,249.0,max_degree,seed000
27000,249.0,max_degree,seed000
28000,247.0,max_degree,seed000
29000,249.0,max_degree,seed000
30000,247.0,max_degree,seed000
1000,0.0005028523422677,modularity,seed000
2000,0.0006237142060978,modularity,seed000
3000,0.0,modularity,seed000
4000,0.002943021992464,modularity,seed000
5000,0.0,modularity,seed000
6000,0.0,modularity,seed000
7000,0.0,modularity,seed000
8000,0.0,modularity,seed000
9000,0.0,modularity,seed000
10000,0.0,modularity,seed000
11000,0.0,modularity,seed000
12000,0.0,modularity,seed000
13000,0.0,modularity,seed000
14000,0.0016921212164979,modularity,seed000
15000,0.0019342155506059,modularity,seed000
16000,0.0023435839308145,modularity,seed000
17000,0.0010848709615339,modularity,seed000
18000,0.0,modularity,seed000
19000,0.0,modularity,seed000
20000,0.0,modularity,seed000
21000,0.0,modularity,seed000
22000,0.0,modularity,seed000
23000,0.0,modularity,seed000
24000,0.0,modularity,seed000
25000,0.0,modularity,seed000
26000,0.0,modularity,seed000
27000,0.0,modularity,seed000
28000,0.0,modularity,seed000
29000,0.0,modularity,seed000
30000,0.0,modularity,seed000
1000,1.0,num_components,seed000
2000,1.0,num_components,seed000
3000,1.0,num_components,seed000
4000,1.0,num_components,seed000
5000,1.0,num_components,seed000
6000,1.0,num_components,seed000
7000,1.0,num_components,seed000
8000,1.0,num_components,seed000
9000,1.0,num_components,seed000
10000,1.0,num_components,seed000
11000,1.0,num_components,seed000
12000,1.0,num_components,seed000
13000,1.0,num_components,seed000
14000,1.0,num_components,seed000
15000,1.0,num_components,seed000
16000,1.0,num_components,seed000
17000,1.0,num_components,seed000
18000,1.0,num_components,seed000
19000,1.0,num_components,seed000
20000,1.0,num_components,seed000
21000,1.0,num_components,seed000
22000,1.0,num_components,seed000
23000,1.0,num_components,seed000
24000,1.0,num_components,seed000
25000,1.0,num_components,seed000
26000,1.0,num_components,seed000
27000,1.0,num_components,seed000
28000,1.0,num_components,seed000
29000,1.0,num_components,seed000
